Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
RAIA DROGASIL;27.95;2030000000.0;-22210000000.0;1.05;9490000000.0;29.95;3.31;2400000000.0;;23.41;4.9;31700000000.0;1.99;3610000000.0;-136280000.0;11.37;0.37;8.68;46.55;3.22;0.6
BB SEGURIDADE;32.12;-4360000000.0;0.0;7180000000.0;0.0;0.0;0.0;0.0;;73.91;19.93;0.0;8230000000.0;0.0;-1.62;0.0;10.73;7.18;8.94;4.47;3.59
VIVARA;27.17;13460000.0;-600820000.0;374440000.0;1.39;69.78;18.83;220590000.0;;20.4;5.56;1.99;417860000.0;543730000.0;4920000.0;27.34;1.34;3.56;17.14;7.64;1.59
FLEURY S.A.;15.49;3310000000.0;-3760000000.0;294840000.0;1.4;27.08;5.72;4220000000.0;;7.1;2.36;5160000000.0;743550000.0;1.27;-82040000.0;24.72;2.99;1.66;28.71;9.31;0.54
QUALICORP;2.86;1.37;-423620000.0;7810000.0;1.43;77.13;0.42;2250000000.0;;6.19;0.14;1.85;247310000.0;695690000.0;22700000.0;37.55;2.77;0.59;-3486.18;4.86;0.0
TRÊS TENTOS;12.22;537050000.0;-6600000000.0;573460000.0;1.08;14.02;7.47;1.35;;9.22;5.18;7680000000.0;490170000.0;529910000.0;93410000.0;6.9;0.94;2.06;10.59;5.93;1.15
MULTILASER;2.37;197930000.0;-3260000000.0;-435770000.0;753790000.0;18.8;-10.87;1.1;;-7.81;-2.77;4010000000.0;-340830000.0;-284870000.0;-38070000.0;-7.1;0.0;0.52;-4.46;4.58;-0.53
CONSTRUTORA TENDA;11.14;628030000.0;-2200000000.0;-426060000.0;363530000.0;14.17;-16.6;1.36;;-11.27;-14.61;2570000000.0;-186020000.0;-123480000.0;-44990000.0;-4.81;0.0;1.99;-2.48;5.59;-4.49
CBA;4.23;2620000000.0;-7260000000.0;59980000.0;520430000.0;6.69;0.77;3990000000.0;;-2.63;0.29;7780000000.0;-22060000.0;544830000.0;219060000.0;7.0;10.42;0.49;-115.83;8.69;-0.04
GRUPO SBF;6.82;2650000000.0;-3380000000.0;124590000.0;3140000000.0;48.22;1.91;2830000000.0;;7.42;1.32;6520000000.0;394180000.0;793090000.0;-13750000.0;12.17;1.98;0.72;13.47;9.44;0.51
SABESP;60.23;16450000000.0;-15570000000.0;3210000000.0;8210000000.000001;34.52;13.52;18710000000.0;;8.17;2.88;23770000000.0;5060000000.0;7650000000.0;-1.18;32.18;2.12;1.43;12.81;42.06;4.7
HYPERA;35.15;7690000000.0;-2980000000.0;1.74;5110000000.0;63.19;21.5;9830000000.0;;12.07;4.07;8090000000.0;2640000000.0;2810000000.0;120380000.0;34.78;1.75;2.02;12.83;17.44;2.74
SIMPAR S.A.;8.02;32880000000.000004;-20830000000.0;576040000.0;8500000000.0;28.97;1.96;40650000000.0;;12.18;4.92;29330000000.0;5600000000.0;8020000000.0;262880000.0;27.33;1.96;2.13;32.49;3.76;0.25
MULTIPLAN;24.12;1.91;-157520000.0;1.03;1.75;91.73;53.96;2630000000.0;;13.57;3.86;1.91;1.38;1.56;-103530000.0;81.73;1.75;2.13;16.47;11.34;1.46
