Fundo;Dy_maior8;pvp_menor1.2;Liq.dia_maior1M;Vacancia_menor10;Prazo_indet;Valor_Patrim_maior500M;Dy_5anos_maior7;Pontuação
FVPQ11;1;1;0;0;1;1;0;4
TRBL11;0;1;0;1;1;1;0;4
DPRO11;1;1;0;0;1;0;0;3
SDIL11;0;1;0;0;1;1;0;3
BTAL11;1;1;0;0;1;1;0;4
RBRD11;1;1;0;0;1;0;0;3
MGFF11;1;1;1;0;1;1;0;5
MFAI11;1;1;0;0;1;0;0;3
HFOF11;1;1;1;0;1;1;0;5
RBRF11;1;1;1;0;1;1;0;5
BCIA11;1;1;0;0;1;0;0;3
CRFF11;1;1;0;0;1;0;0;3
PQDP11;1;1;0;0;1;1;0;4
GGRC11;1;1;1;0;1;1;0;5
NSLU11;1;1;0;0;1;0;0;3
BTCI11;1;1;1;1;1;1;0;6
VIFI11;1;1;0;0;1;0;0;3
ZAVI11;1;1;0;0;1;0;0;3
FIIP11B;1;1;0;0;1;0;0;3
KFOF11;1;1;1;0;1;0;0;4
NCRI11;1;1;0;0;1;0;0;3
MORE11;1;1;0;0;1;0;0;3
FATN11;1;1;0;0;1;0;0;3
VCJR11;1;1;1;0;1;1;0;5
RECT11;1;1;0;0;1;1;0;4
VCRR11;1;1;0;0;1;0;0;3
BREV11;0;1;0;0;1;0;0;2
HGIC11;1;1;0;0;1;0;0;3
KISU11;1;1;0;0;1;0;0;3
MAXR11;1;1;0;0;1;0;0;3
GALG11;1;1;0;0;1;1;0;4
KDIF11;1;1;1;1;0;0;0;4
VTLT11;1;1;0;0;1;0;0;3
VSLH11;1;1;0;0;1;0;0;3
VSHO11;1;1;0;0;1;0;0;3
RBFF11;1;1;0;0;1;0;0;3
KCRE11;1;1;0;0;1;0;0;3
JFLL11;1;1;0;0;1;0;0;3
QAGR11;1;1;0;0;1;0;0;3
BLMR11;1;1;0;0;0;0;0;2
GCFF11;0;1;0;0;1;0;0;2
SARE11;1;1;1;0;1;1;0;5
BPFF11;1;1;0;0;1;0;0;3
KNSC11;1;1;1;0;1;1;0;5
CORM11;0;1;0;0;1;0;0;2
BTRA11;1;1;0;0;1;0;0;3
CPTS11;1;1;1;0;1;1;0;5
VIUR11;1;1;0;0;1;0;0;3
TORD11;1;1;0;0;1;0;0;3
FEXC11;0;1;0;0;1;1;0;3
ASMT11;0;1;0;0;1;0;0;2
MGCR11;1;1;0;0;1;0;0;3
KNHF11;0;1;0;0;1;1;0;3
SNLG11;0;1;0;1;1;0;0;3
CXAG11;1;1;0;0;1;0;0;3
BIDB11;1;1;0;1;0;0;0;3
NEWL11;1;1;0;0;1;0;0;3
GLOG11;1;1;0;1;1;0;0;4
VGIP11;1;1;1;0;1;1;0;5
RBRR11;1;1;1;0;1;1;0;5
RECX11;1;1;0;0;1;0;0;3
MGLG11;0;1;0;0;1;0;0;2
GTWR11;1;1;1;0;1;1;0;5
RFOF11;1;1;0;0;1;0;0;3
BBFO11;1;1;0;0;1;0;0;3
RVBI11;1;1;0;0;1;0;0;3
IRDM11;1;1;1;0;1;1;0;5
BMLC11;1;1;0;0;1;0;0;3
HCTR11;1;1;1;0;1;1;0;5
KNHY11;1;1;1;0;1;1;0;5
IFRA11;1;1;1;1;0;0;0;4
RBED11;1;1;0;0;1;0;0;3
BBPO11;1;1;1;0;1;1;0;5
BIME11;1;1;0;0;1;0;0;3
CXCE11B;1;1;0;0;1;0;0;3
BCRI11;1;1;0;1;1;1;0;5
RZTR11;1;1;1;0;1;1;0;5
XPSF11;1;1;0;0;1;0;0;3
VRTA11;1;1;1;0;1;1;0;5
DVFF11;1;1;0;0;1;0;0;3
PLOG11;0;1;0;0;1;0;0;2
RECR11;1;1;1;1;1;1;0;6
RELG11;0;1;0;0;1;0;0;2
RZAT11;1;1;0;0;1;0;0;3
CVBI11;1;1;1;0;1;1;0;5
MATV11;0;1;0;0;1;0;0;2
SPTW11;1;1;0;0;1;0;0;3
RBVA11;1;1;0;0;1;1;0;4
BARI11;1;1;0;0;1;0;0;3
BBRC11;1;1;0;0;1;0;0;3
IRIM11;1;1;0;0;1;0;0;3
FAED11;1;1;0;1;1;0;0;4
XPCI11;1;1;1;0;1;1;0;5
CPTI11;1;1;0;1;0;0;0;3
CEOC11;1;1;0;0;1;0;0;3
ALZR11;1;1;1;0;1;1;0;5
CXCI11;1;1;0;0;0;0;0;2
ITIP11;1;1;0;0;1;0;0;3
CXCO11;1;1;0;0;1;0;0;3
DEVA11;1;1;1;0;1;1;0;5
ALZM11;1;1;0;0;1;0;0;3
SNCI11;1;1;0;0;1;0;0;3
BLMG11;1;1;0;0;1;0;0;3
HOSI11;1;1;0;0;1;0;0;3
MXRF11;1;1;1;0;1;1;0;5
SPXS11;1;1;0;1;1;0;0;4
FPAB11;1;1;0;0;1;0;0;3
BLMC11;1;1;0;0;1;0;0;3
JSAF11;1;1;1;0;1;0;0;4
OUFF11;1;1;0;0;1;0;0;3
HREC11;1;1;0;0;1;0;0;3
QAMI11;1;1;0;0;1;0;0;3
BODB11;1;1;0;1;0;0;0;3
SEQR11;1;1;0;0;1;0;0;3
AFHI11;1;1;0;0;1;0;0;3
MCCI11;1;1;1;0;1;1;0;5
HGAG11;1;1;0;0;1;0;0;3
HSAF11;1;1;0;0;1;0;0;3
GAME11;1;1;0;0;1;0;0;3
NAVT11;1;1;0;0;1;0;0;3
AIEC11;1;1;0;0;1;0;0;3
HTMX11;1;1;0;0;1;0;0;3
APTO11;1;1;0;0;1;0;0;3
FLCR11;1;1;0;0;1;0;0;3
VGHF11;1;1;1;0;1;1;0;5
MANA11;1;1;0;0;1;0;0;3
PORD11;1;1;0;0;1;0;0;3
BTCR11;0;1;1;0;1;1;0;4
JURO11;1;1;1;1;0;0;0;4
MCHF11;1;1;0;0;1;0;0;3
IBCR11;1;1;0;0;1;0;0;3
HGCR11;1;1;1;0;1;1;0;5
BTAG11;1;1;0;0;0;0;0;2
HCHG11;1;1;0;0;1;0;0;3
KNCR11;1;1;1;0;1;1;0;5
MFII11;1;1;0;0;1;0;0;3
RRCI11;1;1;0;0;1;0;0;3
RURA11;1;1;1;0;1;1;0;5
SADI11;1;1;0;0;1;0;0;3
TGAR11;1;1;1;0;1;1;0;5
BBFI11B;1;1;0;0;1;0;0;3
VOTS11;1;1;0;0;1;0;0;3
RBRY11;1;1;1;0;1;1;0;5
GCRI11;1;1;0;0;1;0;0;3
CYCR11;1;1;0;0;1;0;0;3
MORC11;1;1;0;0;1;0;0;3
MGHT11;1;1;0;0;1;0;0;3
WSEC11;1;1;0;0;1;0;0;3
PLCR11;1;1;0;0;1;0;0;3
HCRI11;1;1;0;0;1;0;0;3
PLCA11;1;1;0;0;1;0;0;3
BROF11;0;1;0;0;1;1;0;3
KNCA11;1;1;1;0;1;1;0;5
SNAG11;1;1;1;0;1;0;0;4
RINV11;0;1;0;0;1;0;0;2
LIFE11;1;1;0;0;1;0;0;3
BNFS11;1;0;0;0;1;0;0;2
RPRI11;1;1;0;1;1;0;0;4
HABT11;1;1;1;0;1;1;0;5
BBGO11;1;1;0;0;1;0;0;3
PEMA11;1;1;0;0;1;0;0;3
OURE11;1;1;0;0;1;0;0;3
NCHB11;1;1;0;0;1;0;0;3
OUJP11;1;1;0;0;1;0;0;3
ARRI11;1;1;0;0;1;0;0;3
GCRA11;1;1;0;0;1;0;0;3
RBHG11;1;1;0;0;1;0;0;3
URPR11;1;1;1;0;1;1;0;5
GRWA11;1;1;0;1;0;0;0;3
RBHY11;1;1;0;0;1;0;0;3
VGIR11;1;1;1;0;1;1;0;5
VCRI11;1;1;0;1;0;0;0;3
DCRA11;1;1;0;0;1;0;0;3
OGHY11;0;1;0;0;1;0;0;2
JGPX11;1;1;0;0;1;0;0;3
CDII11;1;1;0;1;0;0;0;3
VCRA11;1;1;0;0;1;0;0;3
RZAG11;1;1;1;0;1;1;0;5
VGIA11;1;1;1;0;1;1;0;5
IAAG11;0;1;0;0;1;0;0;2
AGRX11;1;1;0;0;1;0;0;3
XPCA11;1;1;1;0;1;0;0;4
AAZQ11;1;1;0;1;1;0;0;4
BDIF11;1;1;1;1;0;0;0;4
JPPA11;1;1;0;0;1;0;0;3
RZAK11;1;1;1;0;1;1;0;5
OIAG11;1;1;0;0;1;0;0;3
FGAA11;1;1;1;0;1;0;0;4
RBRX11;1;1;0;0;1;0;0;3
NCRA11;1;1;0;1;1;0;0;4
CACR11;1;1;0;0;1;0;0;3
CRAA11;0;1;0;0;1;0;0;2
CPTR11;1;1;1;0;1;0;0;4
MCHY11;1;1;0;0;1;0;0;3
LSAG11;1;1;0;0;1;0;0;3
KIVO11;1;1;0;0;1;0;0;3
RBOP11;1;1;0;1;1;0;0;4
SRVD11;0;1;0;0;1;0;0;2
CXTL11;0;1;0;0;1;0;0;2
FZDA11;0;1;0;0;1;0;0;2
EQIR11;1;1;0;0;1;0;0;3
CJCT11;0;1;0;0;1;0;0;2
EGAF11;1;1;0;0;1;0;0;3
NEWU11;0;1;0;0;1;0;0;2
KINP11;1;0;0;0;0;0;0;1
RNDP11;1;1;0;0;1;0;0;3
IDFI11;1;1;0;0;0;0;0;2
VVCR11;1;1;0;0;0;0;0;2
BRIP11;1;1;0;0;0;0;0;2
RBDS11;0;1;0;0;0;0;0;1
VSEC11;1;1;0;0;0;0;0;2
KNRE11;1;1;0;0;0;0;0;2
LOFT11B;0;0;0;0;1;0;0;1
VVCO11;0;1;0;0;1;0;0;2
ALMI11;0;1;0;0;1;0;0;2
AURB11;0;1;0;0;1;0;0;2
BBIM11;0;0;0;0;0;0;0;0
BLMO11;0;1;0;0;0;0;0;1
BPLC11;0;1;0;0;1;0;0;2
BTSI11;0;1;0;0;1;0;0;2
BTWR11;0;1;0;0;1;0;0;2
BZEL11;0;1;0;0;1;0;0;2
CFHI11;0;0;0;0;1;0;0;1
CVPR11;0;1;0;0;1;0;0;2
DLMT11;0;1;0;0;1;0;0;2
ERCR11;0;1;0;0;1;0;0;2
EXES11;1;1;0;0;1;0;0;3
FISC11;0;0;0;0;1;0;0;1
GESE11B;1;1;0;0;0;0;0;2
GTLG11;1;1;0;0;1;0;0;3
HRDF11;0;1;0;0;0;0;0;1
JASC11;0;1;1;0;1;0;0;3
JBFO11;0;1;0;0;1;0;0;2
JRDM11;0;1;0;0;1;0;0;2
LAVF11;0;1;0;0;1;0;0;2
LFTT11;0;0;0;0;1;0;0;1
LLAO11;0;1;0;0;1;0;0;2
LPLP11;1;1;0;0;1;0;0;3
LSPA11;1;1;0;0;1;0;0;3
MBRF11;0;1;0;0;1;0;0;2
MMPD11;0;1;0;0;1;0;0;2
NVIF11B;1;1;0;0;1;0;0;3
ORPD11;0;1;0;0;1;0;0;2
PABY11;0;0;0;0;1;0;0;1
PATB11;0;1;0;0;1;1;0;3
PATC11;0;1;1;0;1;0;0;3
PNDL11;0;0;1;0;0;0;0;1
PRSV11;0;1;0;0;1;0;0;2
PRTS11;0;0;0;0;0;0;0;0
RBCO11;0;1;0;0;1;0;0;2
RBRI11;0;1;0;0;1;0;0;2
RBRM11;0;0;0;0;1;0;0;1
RBTS11;0;0;0;0;0;0;0;0
REIT11;1;1;0;0;1;0;0;3
ROOF11;1;1;0;0;0;0;0;2
RSPD11;0;1;0;0;0;0;0;1
SHOP11;0;1;0;0;1;0;0;2
SHSO11;1;1;0;0;1;0;0;3
SIGR11;1;1;0;0;1;0;0;3
SOLR11;0;1;0;0;1;0;0;2
SPVJ11;0;1;0;0;1;1;0;3
STRX11;0;1;0;0;1;0;0;2
TCPF11;1;1;0;0;1;0;0;3
VIDS11;0;1;0;0;1;0;0;2
VJFD11;0;1;0;0;1;1;0;3
VLOL11;0;1;0;0;1;0;0;2
VTPL11;0;1;0;0;1;0;0;2
VXXV11;0;1;1;0;1;0;0;3
XPHT11;1;0;0;0;1;0;0;2
XTED11;0;1;0;0;1;0;0;2
ZIFI11;0;1;0;0;1;0;0;2
