"Código","Nome","Volume","Última (R$)","Variação"
"SMTO3","São Martinho","1.862.600","37,67","-2,38%"
"MYPK3","Iochpe-Maxion","1.833.500","13,33","-0,89%"
"EZTC3","EZTEC","1.774.900","17,72","+1,03%"
"ZAMP3","Zamp","1.758.300","6,20","+0,81%"
"ELET6","Eletrobras","1.752.300","39,13","+0,05%"
"BRAP4","Bradespar","1.690.800","21,80","-1,93%"
"KEPL3","Kepler Weber","1.628.200","10,84","-1,90%"
"SAPR4","Sanepar","1.612.600","4,46","+0,68%"
"GGPS3","GPS","1.582.000","16,75","-0,12%"
"GFSA3","Gafisa","1.480.000","4,44","+2,78%"
"DIRR3","Direcional","1.475.900","18,34","+1,10%"
"ENAT3","Enauta","1.473.200","16,29","-2,10%"
"KLBN4","Klabin","1.469.800","4,75","-1,25%"
"CXSE3","Caixa Seguridade","1.442.000","11,16","-0,71%"
"PLPL3","Plano&Plano","1.436.100","8,73","+0,92%"
"BPAN4","Banco Pan","1.434.500","7,72","+2,80%"
"SMFT3","Smart Fit","1.411.000","21,15","+2,67%"
"MEAL3","IMC Alimentação","1.337.600","1,85","+0,54%"
"AZEV3","Azevedo & Travassos","1.325.800","2,37","+1,72%"
"CSMG3","COPASA","1.322.200","16,93","+1,87%"
"GRND3","Grendene","1.207.800","6,61","+1,07%"
"CAML3","Camil Alimentos","1.201.900","7,94","+2,19%"
"RAPT4","Randon","1.188.000","11,30","+2,91%"
"PGMN3","Pague Menos","1.164.300","2,96","+4,96%"
"SEER3","Ser Educacional","1.145.200","6,19","+3,00%"
"SGPS3","Springs","1.132.500","2,22","-2,63%"
"JHSF3","JHSF","1.114.900","4,57","+2,01%"
"ONCO3","Oncoclínicas","1.089.800","11,32","+1,25%"
"JALL3","Jalles Machado","1.019.400","8,58","+3,25%"
"MBLY3","Mobly","1.013.700","3,91","+1,30%"
"BRSR6","Banrisul","979.000","11,93","+0,51%"
"PTBL3","Portobello","953.900","5,30","-0,75%"
"CASH3","Méliuz","942.700","6,42","+1,10%"
"NEOE3","Neoenergia","926.600","17,90","+0,11%"
"EGIE3","Engie","926.300","40,96","+0,79%"
"TRIS3","Trisul","905.200","5,13","+3,43%"
"PSSA3","Porto Seguro","884.900","26,29","+0,77%"
"MDIA3","M. Dias Branco","882.400","37,79","-0,87%"
"CPFE3","CPFL Energia","878.600","33,52","+0,57%"
"KRSA3","Kora Saúde","861.100","0,75","+1,35%"
"INTB3","Intelbras","861.000","20,22","+1,71%"
"SLCE3","SLC Agrícola","835.700","38,13","-1,29%"
"AMBP3","Ambipar","828.200","20,24","+1,25%"
"CURY3","Cury","807.000","15,73","+0,06%"
"BRIT3","Brisanet","785.800","3,29","+0,61%"
"SQIA3","Sinqia","762.800","27,20","+0,29%"
"ABCB4","Banco ABC Brasil","753.200","19,85","+2,11%"
"DESK3","Desktop","697.400","15,00","+4,46%"
"EVEN3","Even","685.100","6,10","+2,52%"
"MELK3","Melnick","681.100","4,43","+1,14%"
"VVEO3","Viveo","646.000","16,15","-0,49%"
"OPCT3","OceanPact","644.400","5,50","+1,29%"
"ODPV3","Odontoprev","643.200","10,71","-0,65%"
"RCSL3","Recrusul","627.700","1,81","+1,69%"
"NINJ3","GetNinjas","609.700","4,60","+1,32%"
"MILS3","Mills","609.200","11,40","-1,13%"
"MEGA3","OMEGA ENERGIA S.A.","578.900","9,12","+0,33%"
"LIGT3","Light","559.900","5,34","+1,14%"
"TUPY3","Tupy","534.500","26,50","+0,04%"
"RANI3","Irani","525.300","11,94","+0,34%"
"NGRD3","Neogrid","493.500","1,23","+0,82%"
"ROMI3","Indústrias ROMI","464.200","12,00","+2,39%"
"BMOB3","Bemobi","461.100","11,97","+1,70%"
"MATD3","Mater Dei","460.300","8,46","+4,32%"
"WIZC3","Wiz Soluções","413.000","5,13","+0,79%"
"HBRE3","HBR Realty","399.000","5,05","-0,59%"
"CMIG3","CEMIG","397.500","19,31","+3,26%"
"VLID3","Valid","390.600","17,00","+3,66%"
"MDNE3","Moura Dubeux","389.400","10,22","+0,99%"
"AGRO3","BrasilAgro","369.300","28,78","+1,23%"
"FRAS3","Fras-le","362.500","15,66","-1,01%"
"BMGB4","Banco BMG","351.300","2,39","+1,27%"
"BLAU3","Blau Farmacêutica","344.500","16,27","+2,26%"
"LAVV3","Lavvi Incorporadora","336.600","7,17","+2,14%"
"MTRE3","Mitre Realty","312.300","4,42","+3,03%"
"VIVR3","Viver","305.700","3,36","+1,82%"
"VULC3","Vulcabras","305.000","19,09","+0,26%"
"SAPR3","Sanepar","301.000","4,34","+0,46%"
"SHUL4","Schulz","296.000","7,60","+2,01%"
"ENJU3","Enjoei","295.600","1,38","-0,72%"
"PNVL3","Dimed","293.400","11,56","+3,12%"
"KLBN3","Klabin","291.200","4,78","-0,83%"
"PORT3","Wilson Sons","290.600","14,10","+1,88%"
"HBOR3","Helbor","275.700","2,49","+1,63%"
"PRNR3","Priner","263.000","10,01","-2,34%"
"CLSA3","ClearSale","255.200","4,40","+1,85%"
"TFCO4","Track & Field","252.200","13,31","+2,38%"
"TASA4","Taurus","250.300","15,34","-0,07%"
"LUPA3","Lupatech","239.200","2,21","+0,91%"
"CSED3","Cruzeiro do Sul Educacional","236.900","4,01","+2,04%"
"ETER3","Eternit","234.400","7,70","-0,39%"
"LEVE3","Mahle Metal Leve","231.300","48,00","-0,85%"
"RNEW4","Renova Energia","222.900","1,23","+8,85%"
"VITT3","Vittia","218.000","11,83","-0,42%"
"POMO3","Marcopolo","210.900","4,52","+2,49%"
"WEST3","Westwing","203.200","1,34","+0,00%"
"DOTZ3","Dotz","202.700","1,12","+3,70%"
"TECN3","Technos","201.800","3,50","+1,45%"
"TAEE4","Taesa","200.200","11,49","+1,32%"
"LOGG3","LOG CP","200.100","19,00","-0,78%"
"RNEW3","Renova Energia","186.400","1,21","+9,01%"
"SHOW3","Time For Fun","179.500","2,43","-0,41%"
"AALR3","Alliança","178.200","9,50","-1,04%"
"TGMA3","Tegma","177.800","24,83","+0,40%"
"PINE4","PINE","176.200","3,90","+4,00%"
"FESA4","Ferbasa","174.900","47,09","-0,80%"
"SOJA3","Boa Safra Sementes","171.500","12,55","-0,71%"
"JSLG3","JSL","162.500","8,16","+1,24%"
"FIQE3","Unifique","161.400","3,76","+3,30%"
"SYNE3","SYN","156.700","4,02","+1,01%"
"SANB3","Banco Santander","156.200","12,37","+1,23%"
"ORVR3","Orizon","154.300","35,78","+2,93%"
"TAEE3","Taesa","147.000","11,40","+1,15%"
"SANB4","Banco Santander","144.300","13,77","+0,88%"
"PDGR3","PDG Realty","144.300","4,08","-2,39%"
"ELMD3","Eletromidia","143.300","14,07","-3,03%"
