Fundo;Dy_maior8;pvp_menor1.2;Liq.dia_maior1M;Vacancia_menor10;Prazo_indet;Valor_Patrim_maior500M;Pontuação
VSLH11;1;1;0;0;1;0;3
VSHO11;1;1;0;0;1;0;3
RBFF11;1;1;0;0;1;0;3
KCRE11;1;1;0;0;1;0;3
JFLL11;1;1;0;0;1;0;3
QAGR11;1;1;0;0;1;0;3
BLMR11;1;1;0;0;0;0;2
GCFF11;0;1;0;0;1;0;2
SARE11;1;1;0;0;1;1;4
BPFF11;1;1;0;0;1;0;3
KNSC11;1;1;0;0;1;1;4
CORM11;0;1;0;0;1;0;2
BTRA11;1;1;0;0;1;0;3
CPTS11;1;1;0;0;1;1;4
VIUR11;1;1;0;0;1;0;3
TORD11;1;1;0;0;1;0;3
FEXC11;0;1;0;0;1;1;3
ASMT11;0;1;0;0;1;0;2
MGCR11;1;1;0;0;1;0;3
KNHF11;0;1;0;0;1;1;3
SNLG11;0;1;0;1;1;0;3
CXAG11;1;1;0;0;1;0;3
BIDB11;1;1;0;1;0;0;3
NEWL11;1;1;0;0;1;0;3
GLOG11;1;1;0;1;1;0;4
VGIP11;1;1;0;0;1;1;4
RBRR11;1;1;0;0;1;1;4
RECX11;1;1;0;0;1;0;3
MGLG11;0;1;0;0;1;0;2
GTWR11;1;1;0;0;1;1;4
RFOF11;1;1;0;0;1;0;3
BBFO11;1;1;0;0;1;0;3
RVBI11;1;1;0;0;1;0;3
IRDM11;1;1;0;0;1;1;4
BMLC11;1;1;0;0;1;0;3
HCTR11;1;1;0;0;1;1;4
KNHY11;1;1;0;0;1;1;4
IFRA11;1;1;0;1;0;0;3
RBED11;1;1;0;0;1;0;3
BBPO11;1;1;0;0;1;1;4
BIME11;1;1;0;0;1;0;3
CXCE11B;1;1;0;0;1;0;3
BCRI11;1;1;0;1;1;1;5
RZTR11;1;1;0;0;1;1;4
XPSF11;1;1;0;0;1;0;3
VRTA11;1;1;0;0;1;1;4
DVFF11;1;1;0;0;1;0;3
PLOG11;0;1;0;0;1;0;2
RECR11;1;1;0;1;1;1;5
RELG11;0;1;0;0;1;0;2
RZAT11;1;1;0;0;1;0;3
CVBI11;1;1;0;0;1;1;4
MATV11;0;1;0;0;1;0;2
SPTW11;1;1;0;0;1;0;3
RBVA11;1;1;0;0;1;1;4
BARI11;1;1;0;0;1;0;3
BBRC11;1;1;0;0;1;0;3
IRIM11;1;1;0;0;1;0;3
FAED11;1;1;0;1;1;0;4
XPCI11;1;1;0;0;1;1;4
CPTI11;1;1;0;1;0;0;3
CEOC11;1;1;0;0;1;0;3
ALZR11;1;1;0;0;1;1;4
CXCI11;1;1;0;0;0;0;2
ITIP11;1;1;0;0;1;0;3
CXCO11;1;1;0;0;1;0;3
DEVA11;1;1;0;0;1;1;4
ALZM11;1;1;0;0;1;0;3
SNCI11;1;1;0;0;1;0;3
BLMG11;1;1;0;0;1;0;3
HOSI11;1;1;0;0;1;0;3
MXRF11;1;1;0;0;1;1;4
SPXS11;1;1;0;1;1;0;4
FPAB11;1;1;0;0;1;0;3
BLMC11;1;1;0;0;1;0;3
JSAF11;1;1;0;0;1;0;3
OUFF11;1;1;0;0;1;0;3
HREC11;1;1;0;0;1;0;3
QAMI11;1;1;0;0;1;0;3
BODB11;1;1;0;1;0;0;3
SEQR11;1;1;0;0;1;0;3
AFHI11;1;1;0;0;1;0;3
MCCI11;1;1;0;0;1;1;4
HGAG11;1;1;0;0;1;0;3
HSAF11;1;1;0;0;1;0;3
GAME11;1;1;0;0;1;0;3
NAVT11;1;1;0;0;1;0;3
AIEC11;1;1;0;0;1;0;3
HTMX11;1;1;0;0;1;0;3
APTO11;1;1;0;0;1;0;3
FLCR11;1;1;0;0;1;0;3
VGHF11;1;1;0;0;1;1;4
MANA11;1;1;0;0;1;0;3
PORD11;1;1;0;0;1;0;3
BTCR11;0;1;0;0;1;1;3
JURO11;1;1;0;1;0;0;3
MCHF11;1;1;0;0;1;0;3
IBCR11;1;1;0;0;1;0;3
HGCR11;1;1;0;0;1;1;4
BTAG11;1;1;0;0;0;0;2
HCHG11;1;1;0;0;1;0;3
KNCR11;1;1;0;0;1;1;4
MFII11;1;1;0;0;1;0;3
RRCI11;1;1;0;0;1;0;3
RURA11;1;1;0;0;1;1;4
SADI11;1;1;0;0;1;0;3
TGAR11;1;1;0;0;1;1;4
BBFI11B;1;1;0;0;1;0;3
VOTS11;1;1;0;0;1;0;3
RBRY11;1;1;0;0;1;1;4
GCRI11;1;1;0;0;1;0;3
CYCR11;1;1;0;0;1;0;3
MORC11;1;1;0;0;1;0;3
MGHT11;1;1;0;0;1;0;3
WSEC11;1;1;0;0;1;0;3
PLCR11;1;1;0;0;1;0;3
HCRI11;1;1;0;0;1;0;3
PLCA11;1;1;0;0;1;0;3
BROF11;0;1;0;0;1;1;3
KNCA11;1;1;0;0;1;1;4
SNAG11;1;1;0;0;1;0;3
RINV11;0;1;0;0;1;0;2
LIFE11;1;1;0;0;1;0;3
BNFS11;1;0;0;0;1;0;2
RPRI11;1;1;0;1;1;0;4
HABT11;1;1;0;0;1;1;4
BBGO11;1;1;0;0;1;0;3
PEMA11;1;1;0;0;1;0;3
OURE11;1;1;0;0;1;0;3
