Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 15;Roe > 15;Roa > 10Roic > 12;tag_along 100%;free_float 50%;Soma_total;Formula Graham;Cotacao
SIMPAR S.A.;0;0;1;1;0;1;0.0;0;;1;0;5;4.6;7.9
MULTIPLAN;0;0;1;1;1;0;0.0;0;;1;0;5;19.3;23.7
ESPAÇOLASER;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;1.34
OI S.A;0;0;0;1;1;1;1.0;0;;1;1;7;0.0;0.68
DURATEX;0;1;1;1;0;1;1.0;0;;1;0;6;11.57;7.25
TOTVS;1;0;1;1;1;1;0.0;0;;1;1;7;11.6;26.32
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;0;0;1;1;0;0;1.0;0;;1;0;4;7.41;7.25
VIVO - TELEFÔNICA BRASIL;0;1;1;1;1;0;0.0;0;;0;0;4;50.26;44.71
PETRORECÔNCAVO;1;1;1;1;1;1;1.0;0;;1;1;11;33.55;18.92
AES BRASIL ENERGIA;0;0;1;1;0;0;0.0;0;;1;1;4;6.29;10.51
GUARARAPES CONFECÇÕES;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;4.86
BRASKEM;0;0;1;1;1;1;1.0;0;;1;0;6;0.0;16.0
MOVIDA PARTICIPACOES SA;0;0;1;1;0;0;0.0;0;;1;0;4;7.81;10.39
SANTOS BRASIL;1;1;1;1;1;0;0.0;0;;1;1;8;4.94;7.96
POSITIVO;0;1;1;1;1;1;1.0;0;;1;1;9;18.19;6.69
IRB BRASIL RESSEGUROS;1;0;0;1;0;1;1.0;0;;1;1;6;0.0;42.08
SÃO MARTINHO;0;1;1;1;0;1;1.0;0;;1;0;6;33.3;36.71
IOCHPE MAXION;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;12.6
EZ TEC;1;0;1;1;1;0;1.0;0;;1;0;6;23.15;16.63
ZAMP;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;6.15
KEPLER WEBER;1;1;1;1;1;1;1.0;0;;0;1;10;12.07;10.71
GRUPO GPS;1;0;1;1;0;1;0.0;0;;1;1;7;8.94;16.55
GAFISA;0;0;0;1;1;0;1.0;0;;1;1;5;0.0;4.45
DIRECIONAL ENGENHARIA;1;1;1;1;1;1;1.0;0;;1;0;9;18.18;16.92
ENAUTA PARTICIPAÇÕES;1;0;1;1;1;0;1.0;0;;1;0;6;21.65;15.97
CAIXA SEGURIDADE;1;1;0;1;1;1;1.0;0;;1;0;9;10.02;11.16
PLANO E PLANO;0;0;1;1;1;1;1.0;0;;1;0;8;7.54;8.14
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;0;0;1;1;1;0;0.0;0;;0;0;3;10.92;20.5
INTERNATIONAL MEAL COMPANY;0;0;1;1;1;1;1.0;0;;1;1;8;5.36;1.77
AZEVEDO E TRAVASSOS S.A.;0;0;0;1;1;1;1.0;0;;0;1;5;0.0;2.53
COPASA;0;1;1;1;0;1;1.0;0;;1;0;6;35.76;16.78
GRENDENE;1;1;1;1;1;1;1.0;0;;1;0;9;7.22;6.47
CAMIL;0;1;1;1;0;1;1.0;0;;1;0;6;15.78;7.72
PAGUE MENOS;1;1;1;1;1;1;1.0;0;;1;0;9;38.5;2.94
SER EDUCACIONAL;0;0;1;1;0;0;1.0;0;;1;0;4;0.0;6.1
SPRINGS GLOBAL;0;0;0;1;1;0;1.0;0;;1;0;4;0.0;2.24
JHSF;0;1;1;1;0;0;1.0;0;;1;0;5;10.65;4.28
ONCOCLÍNICAS;0;0;1;1;0;1;0.0;0;;1;0;4;5.16;10.89
JALLES MACHADO;0;1;1;1;0;1;1.0;0;;1;0;7;17.89;8.36
MOBLY;0;0;0;1;1;1;1.0;0;;1;0;5;0.0;3.62
BANCO BANRISUL;1;1;0;1;1;1;1.0;0;;0;0;6;32.5;18.9
PORTOBELLO;0;1;1;1;0;1;0.0;0;;1;0;5;1.89;5.16
MÉLIUZ S.A.;1;0;0;1;0;0;1.0;0;;1;1;5;0.0;6.47
NEOENERGIA;0;1;1;1;0;0;1.0;0;;1;0;6;43.1;17.37
ENGIE BRASIL;0;1;1;1;0;0;1.0;0;;1;0;6;30.21;40.47
TRISUL;0;0;1;1;0;0;1.0;0;;1;0;4;8.89;4.77
PORTO SEGURO;1;0;1;1;1;0;1.0;0;;0;0;5;33.94;26.17
M.DIAS BRANCO;1;0;1;1;1;1;0.0;0;;1;0;6;26.13;36.61
CPFL ENERGIA;0;1;1;1;1;0;1.0;0;;1;0;7;40.89;33.22
KORA SAÚDE;0;0;1;1;0;1;1.0;0;;1;0;5;0.0;0.87
INTELBRAS;1;0;1;1;1;1;1.0;0;;1;0;9;16.43;19.51
SLC AGRICOLA;0;1;1;1;0;1;1.0;0;;1;0;7;46.27;36.76
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;0;0;1;1;0;0;1.0;0;;1;0;4;0.0;19.5
ARMAC;1;0;1;1;1;1;;0;;1;0;6;5.93;12.38
DASA;0;0;1;1;0;1;;0;;0;0;4;0.0;11.5
TRADERSCLUB;1;0;0;1;1;1;1.0;0;;1;0;6;0.0;0.96
CURY;1;1;1;1;1;1;1.0;0;;1;0;10;10.03;15.07
BRISANET;0;0;1;1;0;1;1.0;0;;1;0;5;4.42;3.17
SINQIA S.A;0;0;1;1;0;0;0.0;0;;1;1;4;1.28;27.15
DESKTOP;0;0;1;1;0;1;0.0;0;;1;0;5;12.96;14.87
EVEN CONSTRUTORA E INCORPORADORA;1;1;1;1;1;1;1.0;0;;1;1;9;12.71;5.74
MELNICK;1;1;1;1;1;1;1.0;0;;1;0;8;7.13;4.05
CM HOSPITALAR S.A.;0;0;1;1;0;1;0.0;0;;1;0;4;10.37;15.68
OCEANPACT;1;0;1;1;1;0;0.0;0;;1;1;6;5.16;5.45
ODONTOPREV;1;0;1;1;1;1;1.0;0;;1;0;9;6.74;10.74
RECRUSUL;0;0;1;0;1;1;1.0;1;;0;0;6;0.0;1.8
GETNINJAS;1;0;0;1;0;1;1.0;0;;1;1;6;0.0;4.57
MILLS;0;0;1;1;1;1;1.0;0;;1;1;9;11.0;10.77
