Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 30;Crescimento de receitas lucro >5perc ultimos 5 anos;Soma_total;Formula Graham
AES BRASIL ENERGIA;0;0;1;1;0;0;0;;2;6.29
AZEVEDO E TRAVASSOS S.A.;0;0;0;1;1;1;1;;4;0.0
GUARARAPES CONFECÇÕES;0;0;1;1;1;1;1;;5;0.0
BRASKEM;0;0;1;1;1;1;1;;5;0.0
MOVIDA PARTICIPACOES SA;0;1;1;1;0;0;0;;3;7.81
SANTOS BRASIL;1;1;1;1;1;0;1;;6;4.94
POSITIVO;0;1;1;1;1;1;1;;6;18.19
IRB BRASIL RESSEGUROS;1;0;0;1;0;1;1;;4;0.0
SÃO MARTINHO;0;1;1;1;0;1;1;;5;33.3
IOCHPE MAXION;0;1;1;1;0;1;1;;5;0.0
EZ TEC;1;1;1;1;1;0;1;;6;23.15
ZAMP;0;0;1;1;0;0;1;;3;0.0
BRADESPAR;1;1;1;1;1;0;1;;6;55.17
KEPLER WEBER;1;1;1;1;1;1;1;;7;12.07
CIA SANEAMENTO DO PARANA - SANEPAR;0;1;1;1;0;1;1;;5;11.04
GRUPO GPS;1;1;1;1;0;1;1;;6;8.94
GAFISA;0;0;0;1;1;0;1;;3;0.0
DIRECIONAL ENGENHARIA;1;1;1;1;1;1;1;;7;18.18
ENAUTA PARTICIPAÇÕES;1;1;1;1;1;0;1;;6;21.65
KLABIN S.A.;0;1;1;1;0;1;1;;5;6.19
CAIXA SEGURIDADE;1;1;0;1;1;1;1;;6;10.02
PLANO E PLANO;0;1;1;1;1;1;1;;6;7.54
BANCO PAN;1;1;1;1;1;1;1;;7;7.59
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;0;0;1;1;1;0;0;;3;10.92
INTERNATIONAL MEAL COMPANY;0;0;1;1;1;1;1;;5;5.36
COPASA;0;1;1;1;0;1;1;;5;35.76
GRENDENE;1;1;1;1;1;1;1;;7;7.22
CAMIL;0;1;1;1;0;1;1;;5;15.78
RANDON;0;1;1;1;0;1;1;;5;17.05
PAGUE MENOS;1;1;1;1;1;1;1;;7;38.5
SER EDUCACIONAL;0;0;1;1;0;0;1;;3;0.0
SPRINGS GLOBAL;0;0;0;1;1;0;1;;3;0.0
JHSF;0;1;1;1;0;0;1;;4;10.65
ONCOCLÍNICAS;0;0;1;1;0;1;0;;3;5.16
JALLES MACHADO;0;1;1;1;0;1;1;;5;17.89
MOBLY;0;0;0;1;1;1;1;;4;0.0
BANCO BANRISUL;1;1;0;1;1;1;1;;6;32.5
PORTOBELLO;0;1;1;1;0;1;0;;4;1.89
MÉLIUZ S.A.;1;0;0;1;0;0;1;;3;0.0
NEOENERGIA;0;1;1;1;0;0;1;;4;43.1
ENGIE BRASIL;0;1;1;1;0;0;1;;4;30.21
TRISUL;0;1;1;1;0;0;1;;4;8.89
PORTO SEGURO;1;1;1;1;1;0;1;;6;33.94
M.DIAS BRANCO;1;1;1;1;1;1;1;;7;26.13
CPFL ENERGIA;0;1;1;1;1;0;1;;5;40.89
KORA SAÚDE;0;0;1;1;0;1;1;;4;0.0
INTELBRAS;1;1;1;1;1;1;1;;7;16.43
SLC AGRICOLA;0;1;1;1;0;1;1;;5;46.27
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;0;1;1;1;0;0;1;;4;0.0
ARMAC;1;1;1;1;1;1;1;;7;5.93
DASA;0;1;1;1;0;1;1;;5;0.0
TRADERSCLUB;1;0;0;1;1;1;1;;5;0.0
CURY;1;1;1;1;1;1;1;;7;10.03
BRISANET;0;1;1;1;0;1;1;;5;4.42
SINQIA S.A;0;1;1;1;0;0;0;;3;1.28
BANCO ABC BRASIL;1;1;0;1;1;1;1;;6;44.44
DESKTOP;0;0;1;1;0;1;1;;4;12.96
EVEN CONSTRUTORA E INCORPORADORA;1;1;1;1;1;1;1;;7;12.71
MELNICK;1;1;1;1;1;1;1;;7;7.13
CM HOSPITALAR S.A.;0;1;1;1;0;1;1;;5;10.37
OCEANPACT;1;0;1;1;1;0;1;;5;5.16
ODONTOPREV;1;1;1;1;1;1;1;;7;6.74
GETNINJAS;1;0;0;1;0;1;1;;4;0.0
MILLS;0;1;1;1;1;1;1;;6;11.0
OMEGA GERAÇÃO;0;0;1;1;0;0;1;;3;0.0
LIGHT;0;0;0;1;1;0;1;;3;0.0
TUPY;0;1;1;1;0;1;1;;5;39.03
IRANI PAPEL E EMBALAGEM S.A;0;1;1;1;1;1;1;;6;15.3
NEOGRID PARTICIPAÇÕES S.A.;1;1;1;1;0;0;1;;5;1.47
INDÚSTRIAS ROMI;0;1;1;1;1;1;1;;6;26.39
BEMOBI MOBILE TECH S.A.;1;1;1;1;1;1;1;;7;16.91
HOSPITAL MATER DEI;0;1;1;1;0;1;1;;5;5.48
WIZ;1;1;1;1;1;1;1;;7;6.2
HBR REALTY;0;0;1;1;0;0;1;;3;16.06
VALID;0;1;1;1;1;1;1;;6;26.66
MOURA DUBEUX ENGENHARIA S/A;1;0;1;1;1;1;1;;6;22.35
BRASILAGRO;0;1;1;1;1;0;1;;5;35.52
FRAS-LE;1;1;1;1;1;1;1;;7;13.12
BANCO BMG S.A;1;1;0;1;0;1;1;;5;5.6
BLAU FARMACÊUTICA;1;1;1;1;1;1;1;;7;20.23
LAVVI;1;1;1;1;1;1;1;;7;10.4
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A;0;1;1;1;0;1;1;;5;14.18
VIVER INCORPORADORA E CONSTRUTORA;0;0;0;1;1;1;1;;4;0.0
VULCABRAS;1;1;1;1;1;1;1;;7;19.39
SCHULZ;1;1;1;0;1;1;0;;5;8.19
ENJOEI;1;0;0;1;0;1;1;;4;0.0
DIMED;0;1;1;1;0;1;1;;5;9.63
WILSON SONS LTD.;0;1;1;1;0;1;1;;5;9.84
HELBOR;1;1;1;1;1;1;1;;7;8.5
PRINER;0;1;1;1;1;0;1;;5;8.43
CLEAR SALE;1;0;0;1;0;1;1;;4;0.0
TRACK E FIELD;1;1;1;1;1;1;1;;7;13.33
TAURUS ARMAS;1;1;1;1;1;1;1;;7;21.42
LUPATECH;0;0;0;1;1;1;1;;4;12.25
CRUZEIRO DO SUL EDUCACIONAL;0;1;1;1;1;1;0;;5;3.35
ETERNIT;1;1;1;1;1;1;1;;7;17.92
MAHLE-METAL LEVE;1;1;1;1;1;1;1;;7;37.11
RENOVA ENERGIA;0;0;1;1;1;0;1;;4;14.14
VITTIA;0;1;1;1;1;1;1;;6;8.87
WESTWING;1;0;0;1;1;0;1;;4;0.0
DOTZ;0;0;0;1;1;1;1;;4;0.0
TECHNOS;1;1;1;1;1;0;1;;6;8.9
TAESA;0;1;1;1;0;0;1;;4;12.83
LOG COMMERCIAL PROPERTIES;1;1;1;1;1;0;1;;6;42.02
TIME FOR FUN;0;0;1;1;1;0;0;;3;1.22
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;0;0;1;1;1;1;1;;5;0.0
TEGMA GESTÃO LOGÍSTICA;1;1;1;1;1;0;1;;6;27.59
BANCO PINE;1;1;1;1;1;0;1;;6;7.96
FERBASA;1;1;1;1;1;1;1;;7;79.63
BOA SAFRA SEMENTES S.A.;0;1;1;1;1;1;1;;6;16.46
JSL;0;0;1;1;0;1;1;;4;12.82
UNIFIQUE;1;1;1;1;1;1;1;;7;4.65
SYN PROP E TECH S.A.;0;0;1;1;0;0;1;;3;0.0
BANCO SANTANDER;1;1;1;1;1;1;1;;7;20.13
ORIZON;0;0;1;1;0;1;1;;4;0.0
PDG REALTY;0;0;1;1;1;0;1;;4;0.0
ELETROMIDIA;0;0;1;1;0;1;0;;3;7.49
